id;grupo_tarifa;subtipo;tipo_transporte;unidad;rango_desde;rango_hasta;precio_soles
1;andamio_multidireccional;general;Camioneta;Tn;0;1.7;350
2;andamio_multidireccional;general;Camión;Tn;1.7;4;400
3;andamio_multidireccional;general;Camión;Tn;4;6;500
4;andamio_multidireccional;general;Camión;Tn;6;8;650
5;andamio_multidireccional;general;Camión;Tn;8;11;750
6;andamio_multidireccional;general;Camión;Tn;11;12;950
7;andamio_multidireccional;general;Camión;Tn;12;13;1000
8;andamio_multidireccional;general;Camión;Tn;13;15;1150
9;andamio_multidireccional;general;Camión;Tn;15;16;1300
10;escaleras;general;Camioneta;Tramo;0;3;350
11;escaleras;general;Camioneta;Tramo;3;4;400
12;escaleras;general;Camión;Tramo;4;5;400
13;escaleras;general;Camión;Tramo;5;7;450
14;escaleras;general;Camión;Tramo;7;9;480
15;escaleras;general;Camión;Tramo;9;11;500
16;escaleras;general;Camión;Tramo;11;13;700
17;puntales;3m;Camioneta;Tn;0;1.8;350
18;puntales;3m;Camión;Tn;1.8;6;400
19;puntales;3m;Camión;Tn;6;7;500
20;puntales;3m;Camión;Tn;7;9;600
21;puntales;3m;Camión;Tn;9;11;650
22;puntales;3m;Camión;Tn;11;13;800
23;puntales;3m;Camión;Tn;13;16;950
24;puntales;4m;Camioneta;Tn;0;1.8;350
25;puntales;4m;Camión;Tn;1.8;6;400
26;puntales;4m;Camión;Tn;6;7;500
27;puntales;4m;Camión;Tn;7;9;600
28;puntales;4m;Camión;Tn;9;11;650
29;puntales;4m;Camión;Tn;11;13;800
30;puntales;4m;Camión;Tn;13;16;950
31;puntales;5m;Camión;Tn;1.7;6;400
32;puntales;5m;Camión;Tn;6;7;500
33;puntales;5m;Camión;Tn;7;9;600
34;puntales;5m;Camión;Tn;9;11;650
35;puntales;5m;Camión;Tn;11;13;800
36;puntales;5m;Camión;Tn;13;16;950
37;andamio_electrico;general;Camioneta;Andamio;0;1;350
38;andamio_electrico;general;Camión;Andamio;1;4;400
39;andamio_electrico;general;Camión;Andamio;4;5;500
40;andamio_electrico;general;Camión;Andamio;5;6;550
41;andamio_electrico;general;Camión;Andamio;6;7;600
42;andamio_electrico;general;Camión;Andamio;7;9;800
43;andamio_electrico;general;Camión;Andamio;9;13;1100
44;plataformas_de_descarga;general;Camioneta;Pd;0;2;350
45;plataformas_de_descarga;general;Camión;Pd;2;4;400
46;plataformas_de_descarga;general;Camión;Pd;4;5;500
47;plataformas_de_descarga;general;Camión;Pd;5;6;550
48;escuadras;3m;Camioneta;Und;1;8;350
49;escuadras;3m;Camión;Und;8;22;400
50;escuadras;1m;Camioneta;Und;1;40;350
51;escuadras;1m;Camión;Und;40;50;400
